title,slug,headline,logo,description,url,doi,platform,start_date,end_date,status,monetary_incentive,publication_incentive,speaking_incentive,other_incentive,file_submission,container_submission,notebook_submission,other_submission
IDRiD,IDRiD,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/183/g2385.png,"This challenge evaluates automated techniques for analysis of fundus photographs. We target segmentation of retinal lesions like exudates, microaneurysms, and hemorrhages and detection of the optic disc and fovea. Also, we seek grading of fundus images according to the severity level of DR and DME.",https://idrid.grand-challenge.org/,https://doi.org/10.1016/j.media.2019.101561,Grand Challenge,,,completed,False,True,True,FALSE,True,False,FALSE,FALSE
EMPIRE10,EMPIRE10,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/186/logo.png,Challenge for intra-subject registration of chest CT images.,https://empire10.grand-challenge.org/,https://doi.org/10.1109/tmi.2011.2158349,Grand Challenge,,,completed,False,False,False,FALSE,False,False,FALSE,FALSE
LUMIC,LUMIC,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/203/lumiclogo.png,"The LUMIC challenge tests the accuracy in registration between pre- and post-contrast CT chest images for algorithms, using an anthropomophic digital phantom. ",https://lumic.grand-challenge.org/,,Grand Challenge,,,completed,False,True,False,FALSE,True,False,FALSE,FALSE
Continuous Registration,continuousregistration,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/207/logo.png,"Submit your method for lung and brain registration on https://github.com/SuperElastix/SuperElastix! Your method is easily accessible to end-users and automatically compiled, tested, and benchmarked weekly on several different data sets.",https://continuousregistration.grand-challenge.org/,,Grand Challenge,,,completed,False,False,False,FALSE,False,False,FALSE,FALSE
DRIVE,drive,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/210/logo_drive.PNG,Develop a system to automatically segment vessels in human retina fundus images.,https://drive.grand-challenge.org/,,Grand Challenge,,,active,False,True,False,FALSE,True,False,FALSE,FALSE
CuRIOUS 2018,curious2018,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/221/curious2018_logo.png,MICCAI Challenge 2018 for Correction of Brainshift with Intra-Operative Ultrasound,https://curious2018.grand-challenge.org/,https://doi.org/10.1109/tmi.2019.2935060,Grand Challenge,,,completed,True,True,True,FALSE,True,False,FALSE,FALSE
REFUGE,REFUGE,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/229/logo_refuge_200x200.png,The goal of the Retinal Fundus Glaucoma Challenge (REFUGE) is to evaluate and compare automated algorithms for glaucoma detection and optic disc/cup segmentation on a common dataset of retinal fundus images.,https://refuge.grand-challenge.org/,,Grand Challenge,,,active,False,True,True,FALSE,True,False,FALSE,FALSE
MoNuSeg,MoNuSeg,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/238/monuseg_logo.png,MICCAI 2018 challenge for Multi-organ nuclei segmentation from H&E stained histopathological images.,https://monuseg.grand-challenge.org/,,Grand Challenge,,,completed,False,True,True,FALSE,False,False,FALSE,FALSE
PAVES,PAVES,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/243/paveslogo.png,"Peripheral Artery:Vein Enhanced Segmentation (PAVES) is the challenge focussed on providing easily interpretable and relevant images that can be readily understood by clinicians (vascular interventional radiologists & vascular surgeons) from MRA datasets where the venous and arterial vasculature may be equally enhanced.   The setting is lower limb arterial occlusive disease where imaging of the below knee arterial vasculature is critical in planning limb salvage interventions.  However, the competing demands of the high spatial resolution needed to image small vessels versus imaging time constraints where there is often a very short arteriovenous transit time for contrast passage form arterial to venous compartments makes imaging challenging.  While dynamic MRA techniques can usually allow arterial imaging without venous ‘contamination’ these necessarily sacrifice spatial resolution.",https://paves.grand-challenge.org/,,Grand Challenge,,,completed,False,False,True,FALSE,True,False,FALSE,FALSE
PROSTATEx,PROSTATEx,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/258/prostatex-logo.jpg,Classification of clinical significance of prostate lesions using multi-parametric MRI data,https://prostatex.grand-challenge.org/,,Grand Challenge,,2022-04-30,completed,False,True,True,FALSE,True,False,FALSE,FALSE
HC18,HC18,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/265/HC18_LogoV1.png,Automated measurement of fetal head circumference using 2D ultrasound images,https://hc18.grand-challenge.org/,,Grand Challenge,,,active,False,False,False,FALSE,True,False,FALSE,FALSE
ANHIR,ANHIR,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/285/logo_sq_OdYGo3e.png,The challenge focuses on comparing the accuracy (using manually annotated landmarks) and the approximate speed of automatic non-linear registration methods for aligning microscopy images of multi-stained histology tissue samples.,https://anhir.grand-challenge.org/,https://doi.org/10.1109/tmi.2020.2986331,Grand Challenge,,,active,False,True,True,FALSE,True,False,FALSE,FALSE
BreastPathQ: Cancer Cellularity Challenge 2019,BreastPathQ,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/296/spie_with_overlays.png,SPIE-AAPM-NCI BreastPathQ:Cancer Circularity Challenge 2019: Participants will be tasked to develop an automated method for analyzing histology patches extracted from whole slide images and assign a score reflecting cancer cellularity for tumor burden assessment in each.,https://breastpathq.grand-challenge.org/,https://doi.org/10.1117/1.jmi.8.3.034501,Grand Challenge,,,active,False,True,True,FALSE,True,False,FALSE,FALSE
CHAOS,CHAOS,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/298/logo_8sv4fA4_SWcTFEs.png,"In this challenge, you segment the liver in CT data, and segment liver, spleen, and kidneys in MRI data.",https://chaos.grand-challenge.org/,https://doi.org/10.1016/j.media.2020.101950,Grand Challenge,,,active,False,True,True,FALSE,True,False,FALSE,FALSE
EAD2019,EAD2019,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/302/1772_A_M62_00022_1.jpg,"Endoscopic Artefact Detection (EAD) is a core problem and needed for realising robust computer-assisted tools. The EAD challenge has 3 tasks: 1) Multi-class artefact detection, 2) Region segmentation, 3) Detection generalisation.",https://ead2019.grand-challenge.org/,,Grand Challenge,,,completed,True,True,False,FALSE,True,False,FALSE,FALSE
ACDC-LungHP,ACDC-LungHP,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/305/logo.png,Automatic Cancer Detection and Classification in Whole-slide Lung Histopathology,https://acdc-lunghp.grand-challenge.org/,,Grand Challenge,,,active,False,True,True,FALSE,True,False,FALSE,FALSE
PALM,PALM,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/307/palm-logo.jpg,The Pathologic Myopia Challenge (PALM) focuses on the investigation and development of algorithms associated with the diagnosis of Pathological Myopia (PM) and segmentation of lesions in fundus photos from PM patients.,https://palm.grand-challenge.org/,,Grand Challenge,,,active,False,True,True,FALSE,True,False,FALSE,FALSE
iChallenges,iChallenges,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/345/ichallenge.png,"We organized a serial of challenges on different eye image modalities, such as REFUGE, PALM, RETOUCH, etc.",https://ichallenges.grand-challenge.org/,,Grand Challenge,,,completed,False,False,False,FALSE,True,False,FALSE,FALSE
Decathlon,Decathlon-10,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/350/background_dark_logo.png,The Medical Segmentation Decathlon challenge tests the generalisability of machine learning algorithms when applied to 10 different semantic segmentation task.,https://decathlon-10.grand-challenge.org/,https://doi.org/10.1038/s41467-022-30695-9,Grand Challenge,,,active,False,False,False,FALSE,True,False,FALSE,FALSE
LYON19,LYON19,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/355/ban2_kpuoTJg.png,Automatic Lymphocyte detection in IHC stained specimens.,https://lyon19.grand-challenge.org/,,Grand Challenge,,,active,False,False,False,FALSE,True,False,FALSE,FALSE
KiTS19,KiTS19,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/360/Screenshot_from_2019-01-02_17-23-36.png,2019 Kidney and Kidney Tumor Segmentation Challenge,https://kits19.grand-challenge.org/,https://arxiv.org/abs/1912.01054,Grand Challenge,,,active,True,True,True,FALSE,True,False,FALSE,FALSE
PAIP 2019,PAIP2019,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/370/Untitled_design.png,PAIP2019: Liver Cancer Segmentation       Task 1: Liver Cancer Segmentation     Task 2: Viable Tumor Burden Estimation,https://paip2019.grand-challenge.org/,,Grand Challenge,,,completed,True,True,True,FALSE,True,False,FALSE,FALSE
orCaScore,orCaScore,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/378/00b670348bfdf4464e00c44310ec259f.jpg,"The purpose of the orCaScore challenge is to compare methods for automatic and semi-automatic coronary artery calcium scoring in cardiac CT scans. This evaluation framework was launched at the MICCAI 2014 workshops in Boston, USA, where we organized the Challenge on Automatic Coronary Calcium Scoring.",https://orcascore.grand-challenge.org/,https://doi.org/10.1118/1.4945696,Grand Challenge,,,active,False,True,True,FALSE,True,False,FALSE,FALSE
curious2019,curious2019,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/380/CuRIOUS.png,MICCAI Challenge 2019 for Correction of Brainshift with Intra-Operative Ultrasound. Taks 1: Register pre-operative MRI to iUS before tumor resection;Taks 2: Register iUS after tumor resection to iUS before tumor resection,https://curious2019.grand-challenge.org/,,Grand Challenge,,,completed,False,True,True,FALSE,False,False,FALSE,FALSE
PatchCamelyon,patchcamelyon,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/381/Screen_Shot_2019-05-05_at_21.43.25.png,PatchCamelyon is a new and challenging image classification dataset of 327.680 color images (96 x 96px) extracted from histopathology images of the CAMELYON16 challenge. The goal is to detect breast cancer metastasis in lymph nodes.,https://patchcamelyon.grand-challenge.org/,,Grand Challenge,,,active,False,False,False,FALSE,True,False,FALSE,FALSE
Stereo Correspondence and Reconstruction of Endoscopic Data,EndoVisSub2019-SCARED,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/385/c7714704.jpg,Stereo Correspondence and Reconstruction of Endoscopic Data,https://endovissub2019-scared.grand-challenge.org/,,Grand Challenge,,,completed,True,False,False,FALSE,False,False,FALSE,FALSE
VerSe`19,VerSe2019,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/388/logo_border.png,Vertebrae labelling and segmentation on a spine dataset on an unprecedented 150 CT scans with voxel-level vertebral annotations.,https://verse2019.grand-challenge.org/,,Grand Challenge,,,active,False,False,True,FALSE,True,False,FALSE,FALSE
Gleason2019,Gleason2019,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/391/GLEASON2019.png,"MICCAI 2019 Automatic Prostate Gleason Grading Challenge: This challenge aims at the automatic Gleason grading of prostate cancer from H&E-stained histopathology images. This task is of critical importance because Gleason score is a strong prognostic predictor. On the other hand, it is very challenging because of the large degree of heterogeneity in the cellular and glandular patterns associated with each Gleason grade, leading to significant inter-observer variability, even among expert pathologists.",https://gleason2019.grand-challenge.org/,,Grand Challenge,,,completed,False,True,True,FALSE,True,False,FALSE,FALSE
AGE,AGE,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/394/icon.png,ANGLE CLOSURE GLAUCOMA EVALUATION CHALLENGE,https://age.grand-challenge.org/,,Grand Challenge,,,active,False,False,True,FALSE,True,False,FALSE,FALSE
iChallenge-AMD,AMD,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/395/%E6%BC%94%E7%A4%BA%E6%96%87%E7%A8%BF1-2.png,Age-related Macular Degeneration Challenge,https://amd.grand-challenge.org/,,Grand Challenge,,,active,True,True,True,FALSE,True,False,FALSE,FALSE
StructSeg2019,StructSeg2019,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/398/logo_aAzg3xS.jpg,Welcome to Automatic Structure Segmentation for Radiotherapy Planning Challenge 2019.  This competition is part of the MICCAI 2019 Challenge.,https://structseg2019.grand-challenge.org/,,Grand Challenge,,,completed,False,False,False,FALSE,True,False,FALSE,FALSE
DigestPath2019,DigestPath2019,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/399/digestpath-logo2.png,Welcome to Digestive-System Pathological Detection and Segmentation Challenge 2019.  This competition is part of the MICCAI 2019 Challenge.,https://digestpath2019.grand-challenge.org/,,Grand Challenge,,,completed,False,False,True,FALSE,False,False,FALSE,FALSE
ODIR-2019,odir2019,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/402/logo.jpg,北京大学国际眼底图像智能识别竞赛 Peking University International Competition on Ocular Disease Intelligent Recognition,https://odir2019.grand-challenge.org/,,Grand Challenge,,,active,True,False,False,FALSE,True,False,FALSE,FALSE
Lymphocyte Assessment Hackathon,LYSTO,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/421/lysto_square.png,Lymphocyte Assessment Hackathon in conjunction with the MICCAI COMPAY 2019 Workshop on Computational Pathology,https://lysto.grand-challenge.org/,,Grand Challenge,,,active,False,False,False,FALSE,True,False,FALSE,FALSE
AASCE,aasce19,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/424/logo.png,Accurate Automated Spinal Curvature Estimation,https://aasce19.grand-challenge.org/,,Grand Challenge,,,completed,False,True,False,FALSE,True,False,FALSE,FALSE
HEROHE,ECDP2020,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/433/ECDP2020_square.jpg,"Unlike previous challenges, this proposes to find an image analysis algorithm to identify HER2-positive from HER2-negative breast cancer specimens evaluating only the morphological features present on the HE slide, without the staining patterns of IHC.",https://ecdp2020.grand-challenge.org/,,Grand Challenge,,,completed,True,False,False,FALSE,True,False,FALSE,FALSE
MoNuSAC 2020,MoNuSAC-2020,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/445/logo.PNG,Multi-organ Nuclei Segmentation and Classification Challenge,https://monusac-2020.grand-challenge.org/,https://doi.org/10.1109/tmi.2021.3085712,Grand Challenge,,,completed,False,True,True,FALSE,False,False,FALSE,FALSE
EndoCV2020,EndoCV,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/462/endoLogo.png,Endoscopy computer vision challenge (EndoCV2020) introduces two core sub-themes in endoscopy: 1) artefact detection and segmentation (EAD2020) and 2) disease detection and segmentation (EDD2020).,https://endocv.grand-challenge.org/,,Grand Challenge,,,completed,True,False,False,FALSE,True,False,FALSE,FALSE
LNDb Challenge,LNDb,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/470/thumbnail_lndb.png,"Lung cancer screening and Fleischner follow-up determination in chest CT through nodule detection, segmentation and characterization",https://lndb.grand-challenge.org/,https://arxiv.org/abs/1911.08434,Grand Challenge,,,active,False,True,False,FALSE,True,False,FALSE,FALSE
VerSe'20,VerSe2020,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/473/logo_border.png,"Vertebrae labelling and segmentation on a multi-centre, multi-scanner, and anatomically-diverse CT dataset.",https://verse2020.grand-challenge.org/,,Grand Challenge,,,active,False,False,True,FALSE,True,False,FALSE,FALSE
PAIP2020,PAIP2020,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/480/paip2020_thumb_640x640.jpg,"Built on the success of its predecessor, PAIP2020 is the second challenge organized by the Pathology AI Platform (PAIP) and the Seoul National University Hospital (SNUH). PAIP2020 will proceed to not only detect whole tumor areas in colorectal cancers but also to classify their molecular subtypes, which will lead to characterization of their heterogeneity with respect to prognoses and therapeutic responses. All participants should predict one of the molecular carcinogenesis pathways, i.e., microsatellite instability(MSI) in colorectal cancer, by performing digital image analysis without clinical tests. This task has a high clinical relevance as the currently used procedure requires an extensive microscopic assessment by pathologists. Therefore, those automated algorithms would reduce the workload of pathologists as a diagnostic assistance.",https://paip2020.grand-challenge.org/,,Grand Challenge,,,active,False,True,True,FALSE,True,False,FALSE,FALSE
RibFrac,RibFrac,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/482/challenge-logo-white_b8a8xbr.jpg,"Rib Fracture Detection and Classification Challenge: A large-scale benchmark of 660 CT scans with ~5,000 rib fractures (around 80Gb)",https://ribfrac.grand-challenge.org/,,Grand Challenge,,,active,True,True,True,FALSE,True,False,FALSE,FALSE
Thyroid Nodule Segmentation and Classification,TN-SCUI2020,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/484/Capture8888.PNG,"The main topic of this TN-SCUI2020 challenge is finding  automatic algorithms to accurately classify the thyroid nodules in ultrasound images. It will provide the biggest public dataset of thyroid nodule with over 4500 patient cases from different ages, genders, and were collected using different ultrasound machines. Each ultrasound image is provided with its ground truth class (benign or maglinant) and a detailed delineation of the nodule. This challenge will provide a unique opportunity for participants from different backgrounds (e.g. academia, industry, and government, etc.) to compare their algorithms in an impartial way.",https://tn-scui2020.grand-challenge.org/,,Grand Challenge,2022-01-20,,active,True,True,True,FALSE,True,False,FALSE,FALSE
Learn2Reg,Learn2Reg,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/486/logo_warped.png,Challenge on medical image registration addressing: learning from small datasets; estimating large deformations; dealing with multi-modal scans; and learning from noisy annotations,https://learn2reg.grand-challenge.org/,https://doi.org/10.1109/tmi.2022.3213983,Grand Challenge,,,active,False,True,True,FALSE,True,False,FALSE,FALSE
Automated Segmentation Of Coronary Arteries,ASOCA,,,Automated Segmentation Of Coronary Arteries,https://asoca.grand-challenge.org/,,Grand Challenge,,,active,False,False,True,FALSE,True,False,FALSE,FALSE
KNOAP2020,KNOAP2020,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/492/KNOAP_logo_640x640.png,"Knee osteoarthritis causes a large economic burden on the society and reduces life quality of an individual. Therefore, methods that are able to identify subjects who will develop the disease in the future are important. Usually the methods are optimized for specific datasets and it is unclear how the different methods would perform on previously unseen data. Therefore, we are organizing a challenge to objectively compare methods that use MRI, X-ray image data, and clinical risk factors for prediction of incident symptomatic radiographic knee osteoarthritis.",https://knoap2020.grand-challenge.org/,,Grand Challenge,,,completed,False,True,False,FALSE,False,False,FALSE,FALSE
SARAS-ESAD,SARAS-ESAD,,,"This challenge is part of Medical Imaging with Deep Learning conference, 2020. The conference is held between 6 ‑ 8 July 2020 in Montréal.  The SARAS (Smart Autonomous Robotic Assistant Surgeon) EU consortium, www.saras-project.eu, is working towards replacing the assistant surgeon in MIS with two assistive robotic arms. To accomplish that, an artificial intelligence based system is required which not only can understand the complete surgical scene but also detect the actions being performed by the main surgeon. This information can later be used infer the response required from the autonomous assistant surgeon.",https://saras-esad.grand-challenge.org/,,Grand Challenge,,,completed,False,True,True,FALSE,True,False,FALSE,FALSE
SurgVisDom,surgvisdom,,,,https://surgvisdom.grand-challenge.org/,,Grand Challenge,,,completed,True,False,True,FALSE,False,False,FALSE,FALSE
CADA,CADA,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/531/data-first-row-2.png,"Cerebral aneurysms are local dilations of arterial blood vessels caused by a weakness of the vessel wall. Subarachnoid hemorrhage (SAH) caused by the rupture of a cerebral aneurysm is a life-threatening condition associated with high mortality and morbidity. The mortality rate is above 40%, and even in case of survival cognitive impairment can affect patients for a long time. Major goals in image analysis are the detection and risk assessment of aneurysms. We, therefore, subdivided the challenge into three categories. The first task is finding the aneurysm; the second task is the accurate segmentation to allow for a longitudinal assessment of the development of suspicious aneurysms. The third task is the estimation of the rupture risk of the aneurysm.",https://cada.grand-challenge.org/,https://doi.org/10.1007/978-3-030-72862-5,Grand Challenge,,,completed,False,False,False,FALSE,True,False,FALSE,FALSE
Diabetic Foot Ulcer Challenge 2020,DFU2020,,https://rumc-gcorg-p-public.s3.amazonaws.com/logos/challenge/532/bb.png,Diabetic Foot Ulcer Challenge 2020,https://dfu2020.grand-challenge.org/,https://doi.org/10.1016/j.compbiomed.2021.104596,Grand Challenge,,,active,False,True,False,FALSE,True,False,FALSE,FALSE
