"id","challenge_id","organization_id","role"
"143","15","154","challenge_organizer"
"144","15","187","challenge_organizer"
"145","15","115","challenge_organizer"
"146","15","23","challenge_organizer"
"147","15","154","data_contributor"
"148","15","140","data_contributor"
"149","15","142","data_contributor"
"150","15","154","sponsor"
"151","15","93","sponsor"
"152","15","171","sponsor"
"153","15","1","sponsor"
"154","15","32","sponsor"
"155","15","67","sponsor"
"156","16","128","challenge_organizer"
"157","16","93","challenge_organizer"
"158","16","26","challenge_organizer"
"159","16","89","challenge_organizer"
"160","16","73","challenge_organizer"
"161","16","170","challenge_organizer"
"162","16","171","challenge_organizer"
"163","16","23","challenge_organizer"
"164","16","26","data_contributor"
"165","16","235","data_contributor"
"166","16","29","data_contributor"
"167","16","26","sponsor"
"168","17","128","challenge_organizer"
"169","17","93","challenge_organizer"
"170","17","197","challenge_organizer"
"171","17","149","challenge_organizer"
"172","17","171","challenge_organizer"
"173","17","23","challenge_organizer"
"174","17","99","data_contributor"
"175","17","149","sponsor"
"176","17","81","sponsor"
"177","17","138","sponsor"
"178","17","171","sponsor"
"179","17","197","sponsor"
"180","17","150","sponsor"
"181","18","235","challenge_organizer"
"182","18","128","challenge_organizer"
"183","18","93","challenge_organizer"
"184","18","197","challenge_organizer"
"185","18","150","challenge_organizer"
"186","18","149","challenge_organizer"
"187","18","79","challenge_organizer"
"188","18","220","challenge_organizer"
"189","18","171","challenge_organizer"
"190","18","23","challenge_organizer"
"191","18","149","data_contributor"
"192","18","99","data_contributor"
"193","18","149","data_contributor"
"194","18","156","sponsor"
"195","18","81","sponsor"
"196","18","138","sponsor"
"197","19","171","challenge_organizer"
"198","19","64","challenge_organizer"
"199","19","229","challenge_organizer"
"200","19","59","challenge_organizer"
"201","19","59","sponsor"
"202","20","171","challenge_organizer"
"203","20","205","challenge_organizer"
"204","20","128","challenge_organizer"
"205","20","93","challenge_organizer"
"206","20","89","challenge_organizer"
"207","20","73","challenge_organizer"
"208","20","170","challenge_organizer"
"209","20","118","challenge_organizer"
"210","20","23","challenge_organizer"
"211","20","111","challenge_organizer"
"212","20","205","data_contributor"
"213","20","180","sponsor"
"214","21","179","challenge_organizer"
"215","21","171","challenge_organizer"
"216","21","128","challenge_organizer"
"217","21","93","challenge_organizer"
"218","21","199","challenge_organizer"
"219","21","150","challenge_organizer"
"220","21","115","challenge_organizer"
"221","21","23","challenge_organizer"
"222","21","69","data_contributor"
"223","22","220","challenge_organizer"
"224","22","91","challenge_organizer"
"225","22","127","challenge_organizer"
"226","22","95","challenge_organizer"
"227","22","128","challenge_organizer"
"228","22","93","challenge_organizer"
"229","22","171","challenge_organizer"
"230","22","23","challenge_organizer"
"231","22","64","data_contributor"
"232","22","229","data_contributor"
"233","23","232","challenge_organizer"
"234","23","128","challenge_organizer"
"235","23","93","challenge_organizer"
"236","23","197","challenge_organizer"
"237","23","150","challenge_organizer"
"238","23","149","challenge_organizer"
"239","23","171","challenge_organizer"
"240","23","23","challenge_organizer"
"241","23","99","data_contributor"
"242","23","131","data_contributor"
"243","23","149","data_contributor"
"244","23","138","sponsor"
"245","23","81","sponsor"
"246","23","156","sponsor"
"247","23","131","sponsor"
"248","24","171","challenge_organizer"
"249","24","93","challenge_organizer"
"250","24","106","challenge_organizer"
"251","24","128","challenge_organizer"
"252","24","175","challenge_organizer"
"253","24","189","challenge_organizer"
"254","24","36","data_contributor"
"255","24","128","data_contributor"
"256","24","110","sponsor"
"257","24","80","sponsor"
"258","24","236","sponsor"
"259","24","93","sponsor"
"260","24","20","sponsor"
"261","25","47","challenge_organizer"
"262","25","129","challenge_organizer"
"263","25","171","challenge_organizer"
"264","25","193","data_contributor"
"265","25","58","data_contributor"
"266","25","86","data_contributor"
"267","25","89","data_contributor"
"268","25","129","data_contributor"
"269","25","47","sponsor"
"270","26","85","challenge_organizer"
"271","26","197","challenge_organizer"
"272","26","63","challenge_organizer"
"273","26","149","challenge_organizer"
"274","26","171","challenge_organizer"
"275","26","131","data_contributor"
"276","26","88","data_contributor"
"277","26","179","data_contributor"
"278","26","49","data_contributor"
"279","26","108","data_contributor"
"280","26","202","data_contributor"
"281","26","197","data_contributor"
"282","26","149","data_contributor"
"283","26","99","data_contributor"
"284","26","41","data_contributor"
"285","27","126","challenge_organizer"
"286","27","65","challenge_organizer"
"287","27","230","challenge_organizer"
"288","27","88","challenge_organizer"
"289","27","171","challenge_organizer"
"290","27","224","challenge_organizer"
"291","27","208","challenge_organizer"
"292","27","216","challenge_organizer"
"293","27","126","data_contributor"
"294","27","171","data_contributor"
"295","27","126","sponsor"
"296","27","166","sponsor"
"297","28","141","challenge_organizer"
"298","28","128","challenge_organizer"
"299","28","93","challenge_organizer"
"300","28","131","challenge_organizer"
"301","28","89","challenge_organizer"
"302","28","73","challenge_organizer"
"303","28","170","challenge_organizer"
"304","28","149","challenge_organizer"
"305","28","59","challenge_organizer"
"306","28","152","challenge_organizer"
"307","28","171","challenge_organizer"
"308","28","51","data_contributor"
"309","28","51","sponsor"
"310","28","59","sponsor"
"311","28","147","sponsor"
"312","29","211","challenge_organizer"
"313","29","128","challenge_organizer"
"314","29","210","challenge_organizer"
"315","29","171","challenge_organizer"
"316","29","195","challenge_organizer"
"317","29","128","data_contributor"
"318","29","128","sponsor"
"319","30","89","challenge_organizer"
"320","30","128","challenge_organizer"
"321","30","93","challenge_organizer"
"322","30","73","challenge_organizer"
"323","30","170","challenge_organizer"
"324","30","121","challenge_organizer"
"325","30","171","challenge_organizer"
"326","30","121","data_contributor"
"327","31","171","challenge_organizer"
"328","31","96","challenge_organizer"
"329","31","128","challenge_organizer"
"330","31","93","challenge_organizer"
"331","31","190","data_contributor"
"332","31","15","sponsor"
"333","32","87","challenge_organizer"
"334","32","48","challenge_organizer"
"335","32","66","challenge_organizer"
"336","32","128","challenge_organizer"
"337","32","93","challenge_organizer"
"338","32","171","challenge_organizer"
"339","32","182","data_contributor"
"340","32","116","data_contributor"
"341","32","15","data_contributor"
"342","32","31","sponsor"
"343","33","233","challenge_organizer"
"344","33","196","challenge_organizer"
"345","33","128","challenge_organizer"
"346","33","93","challenge_organizer"
"347","33","199","challenge_organizer"
"348","33","179","challenge_organizer"
"349","33","72","challenge_organizer"
"350","33","72","data_contributor"
"351","33","233","data_contributor"
"352","33","117","data_contributor"
"353","34","89","challenge_organizer"
"354","34","226","challenge_organizer"
"355","34","171","challenge_organizer"
"356","34","73","challenge_organizer"
"357","34","170","challenge_organizer"
"358","34","71","challenge_organizer"
"359","34","226","data_contributor"
"360","34","71","data_contributor"
"361","35","171","challenge_organizer"
"362","35","224","challenge_organizer"
"363","35","224","data_contributor"
"364","35","133","sponsor"
"365","35","97","sponsor"
"366","35","224","sponsor"
"367","36","43","challenge_organizer"
"368","36","171","challenge_organizer"
"369","36","234","challenge_organizer"
"370","36","114","challenge_organizer"
"371","36","224","challenge_organizer"
"372","36","16","challenge_organizer"
"373","36","93","challenge_organizer"
"374","36","43","data_contributor"
"375","36","114","data_contributor"
"376","36","234","data_contributor"
"377","37","95","challenge_organizer"
"378","37","113","challenge_organizer"
"379","37","150","challenge_organizer"
"380","37","171","challenge_organizer"
"381","37","179","challenge_organizer"
"382","37","16","data_contributor"
"383","37","234","data_contributor"
"384","37","114","data_contributor"
"385","37","43","data_contributor"
"386","37","171","data_contributor"
"387","37","131","sponsor"
"388","38","171","challenge_organizer"
"389","38","52","challenge_organizer"
"390","38","176","challenge_organizer"
"391","38","15","challenge_organizer"
"392","38","131","challenge_organizer"
"393","38","46","challenge_organizer"
"394","38","128","challenge_organizer"
"395","38","93","challenge_organizer"
"396","38","89","challenge_organizer"
"397","38","73","challenge_organizer"
"398","38","170","challenge_organizer"
"399","38","52","data_contributor"
"400","39","171","challenge_organizer"
"401","39","150","challenge_organizer"
"402","39","128","challenge_organizer"
"403","39","15","challenge_organizer"
"404","39","131","challenge_organizer"
"405","39","46","challenge_organizer"
"406","39","112","data_contributor"
"407","39","150","data_contributor"
"408","40","131","challenge_organizer"
"409","40","171","challenge_organizer"
"410","40","150","challenge_organizer"
"411","40","22","data_contributor"
"412","40","44","data_contributor"
"413","40","131","sponsor"
"414","41","192","challenge_organizer"
"415","41","128","challenge_organizer"
"416","41","93","challenge_organizer"
"417","41","199","challenge_organizer"
"418","41","171","challenge_organizer"
"419","41","192","data_contributor"
"420","41","133","sponsor"
"421","41","40","sponsor"
"422","42","171","challenge_organizer"
"423","42","144","challenge_organizer"
"424","42","126","challenge_organizer"
"425","42","76","challenge_organizer"
"426","42","126","data_contributor"
"427","42","144","data_contributor"
"428","42","216","data_contributor"
"429","42","191","data_contributor"
"430","42","198","data_contributor"
"431","42","161","data_contributor"
"432","43","171","challenge_organizer"
"433","43","52","challenge_organizer"
"434","43","176","challenge_organizer"
"435","43","15","challenge_organizer"
"436","43","46","challenge_organizer"
"437","43","128","challenge_organizer"
"438","43","89","challenge_organizer"
"439","43","52","data_contributor"
"440","43","46","sponsor"
"441","44","171","challenge_organizer"
"442","44","224","challenge_organizer"
"443","44","224","data_contributor"
"444","45","211","challenge_organizer"
"445","45","40","challenge_organizer"
"446","45","148","challenge_organizer"
"447","45","171","challenge_organizer"
"448","45","40","data_contributor"
"449","46","215","challenge_organizer"
"450","46","131","challenge_organizer"
"451","46","196","data_contributor"
"452","46","220","data_contributor"
"453","46","171","challenge_organizer"
"454","46","185","data_contributor"
"455","46","61","data_contributor"
"456","46","226","challenge_organizer"
"457","46","148","data_contributor"
"458","47","47","challenge_organizer"
"459","47","171","challenge_organizer"
"460","47","158","challenge_organizer"
"461","47","124","challenge_organizer"
"462","47","58","challenge_organizer"
"463","47","160","challenge_organizer"
"464","47","47","sponsor"
"465","59","30","data_contributor"
"466","59","224","data_contributor"
"467","59","196","data_contributor"
"468","61","64","data_contributor"
"469","62","173","data_contributor"
"470","63","224","data_contributor"
"471","64","184","data_contributor"
"472","65","33","data_contributor"
"473","66","196","data_contributor"
"474","67","159","data_contributor"
"475","67","70","data_contributor"
"476","68","42","data_contributor"
"477","69","200","data_contributor"
"478","70","91","data_contributor"
"479","71","214","data_contributor"
"480","72","179","data_contributor"
"481","274","41","data_contributor"
"482","269","213","data_contributor"
"483","73","91","data_contributor"
"484","273","88","data_contributor"
"485","268","220","data_contributor"
"486","74","222","data_contributor"
"487","267","217","data_contributor"
"488","277","221","data_contributor"
"489","270","173","data_contributor"
"490","271","173","data_contributor"
"491","272","220","data_contributor"
"492","276","218","data_contributor"
"493","275","41","data_contributor"
"494","79","104","challenge_organizer"
"495","79","3","challenge_organizer"
"496","79","102","challenge_organizer"
"497","79","215","challenge_organizer"
"498","79","143","challenge_organizer"
"499","79","224","challenge_organizer"
"500","79","203","challenge_organizer"
"501","79","219","challenge_organizer"
"502","79","137","sponsor"
"503","79","15","sponsor"
"504","79","60","sponsor"
"505","79","68","sponsor"
"506","80","209","challenge_organizer"
"507","80","183","challenge_organizer"
"508","80","194","challenge_organizer"
"509","80","207","challenge_organizer"
"510","80","135","sponsor"
"511","81","209","challenge_organizer"
"512","81","183","challenge_organizer"
"513","81","194","challenge_organizer"
"514","81","207","challenge_organizer"
"515","81","135","sponsor"
"516","82","189","sponsor"
"517","83","13","challenge_organizer"
"518","83","189","challenge_organizer"
"519","83","34","challenge_organizer"
"520","83","62","challenge_organizer"
"521","83","228","challenge_organizer"
"522","83","136","challenge_organizer"
"523","83","189","sponsor"
"524","84","13","challenge_organizer"
"525","84","189","challenge_organizer"
"526","84","152","challenge_organizer"
"527","84","201","challenge_organizer"
"528","84","128","challenge_organizer"
"529","84","93","challenge_organizer"
"530","84","62","challenge_organizer"
"531","84","34","challenge_organizer"
"532","84","189","sponsor"
"533","85","13","challenge_organizer"
"534","85","189","challenge_organizer"
"535","85","82","challenge_organizer"
"536","85","62","challenge_organizer"
"537","85","34","challenge_organizer"
"538","85","189","sponsor"
"539","86","13","challenge_organizer"
"540","86","189","challenge_organizer"
"541","86","83","challenge_organizer"
"542","86","34","challenge_organizer"
"543","86","189","sponsor"
"544","87","13","challenge_organizer"
"545","87","189","challenge_organizer"
"546","87","62","challenge_organizer"
"547","87","53","challenge_organizer"
"548","87","34","challenge_organizer"
"549","87","189","sponsor"
"550","88","136","challenge_organizer"
"551","88","13","challenge_organizer"
"552","88","189","challenge_organizer"
"553","88","62","challenge_organizer"
"554","88","34","challenge_organizer"
"555","88","189","sponsor"
"556","89","13","challenge_organizer"
"557","89","189","challenge_organizer"
"558","89","231","challenge_organizer"
"559","89","34","challenge_organizer"
"560","89","62","challenge_organizer"
"561","89","189","sponsor"
"562","90","13","challenge_organizer"
"563","90","189","challenge_organizer"
"564","90","34","challenge_organizer"
"565","90","62","challenge_organizer"
"566","90","189","sponsor"
"567","91","13","challenge_organizer"
"568","91","189","challenge_organizer"
"569","91","34","challenge_organizer"
"570","91","62","challenge_organizer"
"571","91","189","sponsor"
"572","92","13","challenge_organizer"
"573","92","189","challenge_organizer"
"574","92","34","challenge_organizer"
"575","92","62","challenge_organizer"
"576","92","131","challenge_organizer"
"577","92","177","challenge_organizer"
"578","92","189","sponsor"
"579","93","12","challenge_organizer"
"580","93","215","challenge_organizer"
"581","93","84","challenge_organizer"
"582","93","7","challenge_organizer"
"583","93","15","sponsor"
"584","93","90","sponsor"
"585","93","103","sponsor"
"586","93","50","sponsor"
"587","94","12","challenge_organizer"
"588","94","186","sponsor"
"589","94","178","sponsor"
"590","95","12","challenge_organizer"
"591","95","77","sponsor"
"592","112","12","sponsor"
"593","112","215","challenge_organizer"
"594","112","84","challenge_organizer"
"595","112","7","challenge_organizer"
"596","112","98","sponsor"
"597","112","139","sponsor"
"598","112","162","sponsor"
"599","149","13","challenge_organizer"
"600","149","237","challenge_organizer"
"601","150","13","challenge_organizer"
"602","150","238","challenge_organizer"
"603","151","13","challenge_organizer"
"604","151","238","challenge_organizer"
"605","152","13","challenge_organizer"
"606","152","231","challenge_organizer"
"607","153","13","challenge_organizer"
"608","55","1","sponsor"
"609","53","1","sponsor"
"610","52","1","sponsor"
"611","54","1","sponsor"
"612","154","1","sponsor"
"613","45","1","sponsor"
"614","44","1","sponsor"
"615","43","1","sponsor"
"616","40","1","sponsor"
"617","42","1","sponsor"
"618","39","1","sponsor"
"619","41","1","sponsor"
"620","35","1","sponsor"
"621","36","1","sponsor"
"622","34","1","sponsor"
"623","37","1","sponsor"
"624","33","1","sponsor"
"625","32","1","sponsor"
"626","31","1","sponsor"
"627","30","1","sponsor"
"628","29","1","sponsor"
"629","21","1","sponsor"
"630","27","1","sponsor"
"631","26","1","sponsor"
"632","28","1","sponsor"
"633","24","1","sponsor"
"634","25","1","sponsor"
"635","23","1","sponsor"
"636","20","1","sponsor"
"637","19","1","sponsor"
"638","18","1","sponsor"
"639","17","1","sponsor"
"640","16","1","sponsor"
"641","14","1","sponsor"
"642","8","1","sponsor"
"643","7","1","sponsor"
"644","11","1","sponsor"
"645","12","1","sponsor"
"646","10","1","sponsor"
"647","9","1","sponsor"
"648","6","1","sponsor"
"649","5","1","sponsor"
"650","4","1","sponsor"
"651","1","1","sponsor"
"652","3","1","sponsor"
"653","155","215","challenge_organizer"
"654","155","171","challenge_organizer"
"655","155","239","challenge_organizer"
"656","155","240","challenge_organizer"
"657","155","195","challenge_organizer"
"658","155","226","challenge_organizer"
"659","155","241","challenge_organizer"
"660","155","242","challenge_organizer"
"661","155","185","challenge_organizer"
"662","155","196","challenge_organizer"
"663","155","243","challenge_organizer"
"664","155","244","challenge_organizer"
"665","155","245","challenge_organizer"
"666","155","246","challenge_organizer"
"667","155","247","challenge_organizer"
"668","155","248","challenge_organizer"
"669","155","13","challenge_organizer"
"670","155","249","challenge_organizer"
"671","155","34","challenge_organizer"
"672","155","62","challenge_organizer"
"673","155","215","data_contributor"
"674","155","240","data_contributor"
"675","155","250","data_contributor"
"676","155","251","data_contributor"
"677","155","241","data_contributor"
"678","155","185","data_contributor"
"679","155","243","data_contributor"
"680","155","245","data_contributor"
"681","155","49","data_contributor"
"682","155","252","data_contributor"
"683","155","253","data_contributor"
"684","155","98","sponsor"
"685","155","139","sponsor"
"686","155","254","sponsor"
"687","155","255","sponsor"
"688","157","209","challenge_organizer"
"689","157","195","challenge_organizer"
"690","157","194","challenge_organizer"
"691","157","257","challenge_organizer"
"692","157","135","sponsor"
"693","158","258","challenge_organizer"
"694","158","258","data_contributor"
"695","158","161","challenge_organizer"
"696","158","161","data_contributor"
"697","158","259","challenge_organizer"
"698","158","260","challenge_organizer"
"699","158","261","challenge_organizer"
"700","158","261","data_contributor"
"701","158","262","challenge_organizer"
"702","158","263","challenge_organizer"
"703","158","264","challenge_organizer"
"704","158","265","sponsor"
"705","158","260","sponsor"
"706","158","266","sponsor"
"707","158","261","sponsor"
"708","159","267","challenge_organizer"
"709","159","267","sponsor"
"710","159","267","data_contributor"
"711","160","269","sponsor"
"712","160","268","challenge_organizer"
"713","161","272","challenge_organizer"
"714","161","271","challenge_organizer"
"715","161","270","challenge_organizer"
"716","162","273","sponsor"
"717","162","107","challenge_organizer"
"718","162","256","challenge_organizer"
"719","162","270","challenge_organizer"
"720","162","147","challenge_organizer"
"721","162","215","challenge_organizer"
"722","162","270","data_contributor"
"723","164","104","challenge_organizer"
"724","164","143","challenge_organizer"
"725","164","213","challenge_organizer"
"726","164","275","challenge_organizer"
"727","164","102","challenge_organizer"
"728","162","274","data_contributor"
"729","162","276","data_contributor"
"730","162","277","data_contributor"
"731","165","162","challenge_organizer"
"732","164","3","challenge_organizer"
"733","163","278","challenge_organizer"
"734","167","279","challenge_organizer"
"735","162","12","sponsor"
"736","160","12","sponsor"
"737","161","12","sponsor"
"738","159","12","sponsor"
"739","155","12","sponsor"
"740","169","12","sponsor"
"741","169","280","challenge_organizer"
"742","169","281","challenge_organizer"
"743","169","211","challenge_organizer"
"744","169","282","challenge_organizer"
"745","169","171","challenge_organizer"
"746","170","283","challenge_organizer"
"747","170","284","challenge_organizer"
"748","170","285","challenge_organizer"
"749","170","67","challenge_organizer"
"750","170","286","challenge_organizer"
"751","170","12","sponsor"
"752","170","15","sponsor"
"753","171","283","challenge_organizer"
"754","171","67","challenge_organizer"
"755","171","287","challenge_organizer"
"756","171","286","challenge_organizer"
"757","171","288","challenge_organizer"
"758","171","289","challenge_organizer"
"759","171","12","sponsor"
"760","171","15","sponsor"
"761","172","290","challenge_organizer"
"762","172","291","challenge_organizer"
"763","173","179","challenge_organizer"
"764","174","179","challenge_organizer"
"765","174","292","challenge_organizer"
"766","175","179","challenge_organizer"
"767","175","119","challenge_organizer"
"768","176","179","challenge_organizer"
"769","176","293","challenge_organizer"
"770","177","179","challenge_organizer"
"771","178","197","challenge_organizer"
"772","179","179","challenge_organizer"
"773","179","294","challenge_organizer"
"774","179","144","challenge_organizer"
"775","179","295","challenge_organizer"
"776","180","41","challenge_organizer"
"777","180","296","challenge_organizer"
"778","180","297","challenge_organizer"
"779","181","298","challenge_organizer"
"780","181","299","sponsor"
"781","181","300","sponsor"
"782","181","147","sponsor"
"783","181","301","sponsor"
"784","182","302","challenge_organizer"
"785","182","302","data_contributor"
"786","182","303","data_contributor"
"787","182","304","data_contributor"
"788","182","126","sponsor"
"789","183","75","sponsor"
"790","183","312","challenge_organizer"
"791","184","12","sponsor"
"792","184","226","challenge_organizer"
"793","184","306","challenge_organizer"
"794","184","307","challenge_organizer"
"795","184","308","challenge_organizer"
"796","184","248","challenge_organizer"
"797","184","305","challenge_organizer"
"798","184","309","challenge_organizer"
"799","184","310","challenge_organizer"
"800","184","220","challenge_organizer"
"801","184","261","data_contributor"
"802","184","311","data_contributor"
"803","185","261","challenge_organizer"
"804","185","261","data_contributor"
"805","185","12","sponsor"
"806","184","305","data_contributor"
"807","186","13","challenge_organizer"
"808","186","313","challenge_organizer"
"809","186","314","challenge_organizer"
"810","186","315","challenge_organizer"
"811","187","231","challenge_organizer"
"812","187","249","challenge_organizer"
"813","187","313","challenge_organizer"
"814","187","315","challenge_organizer"
"815","187","136","challenge_organizer"
"816","187","316","challenge_organizer"
"817","187","34","challenge_organizer"
"818","187","317","challenge_organizer"
"819","187","318","challenge_organizer"
"820","194","171","challenge_organizer"
"821","195","171","challenge_organizer"
"822","196","171","challenge_organizer"
"823","197","171","challenge_organizer"
"824","198","171","challenge_organizer"
"825","194","319","data_contributor"
"826","195","319","data_contributor"
"827","196","319","data_contributor"
"828","197","319","data_contributor"
"829","198","319","data_contributor"
"830","194","247","data_contributor"
"831","195","247","data_contributor"
"832","196","247","data_contributor"
"833","197","247","data_contributor"
"834","198","247","data_contributor"
"835","199","1","sponsor"
"836","200","1","sponsor"
"837","201","1","sponsor"
"838","202","1","sponsor"
"839","203","1","sponsor"
"840","204","1","sponsor"
"841","205","1","sponsor"
"842","206","1","sponsor"
"843","207","1","sponsor"
"844","208","1","sponsor"
"845","209","1","sponsor"
"846","210","1","sponsor"
"847","211","1","sponsor"
"848","212","1","sponsor"
"849","213","1","sponsor"
"850","214","1","sponsor"
"851","190","1","sponsor"
"852","191","1","sponsor"
"853","192","1","sponsor"
"854","193","1","sponsor"
"855","199","52","data_contributor"
"856","200","58","data_contributor"
"857","201","320","data_contributor"
"858","202","321","data_contributor"
"859","203","124","data_contributor"
"860","204","322","data_contributor"
"861","205","256","data_contributor"
"862","205","119","data_contributor"
"863","205","93","challenge_organizer"
"864","206","256","data_contributor"
"865","206","119","data_contributor"
"866","206","93","challenge_organizer"
"867","206","256","challenge_organizer"
"868","206","119","challenge_organizer"
"869","207","220","data_contributor"
"870","207","242","data_contributor"
"871","207","93","challenge_organizer"
"872","208","220","data_contributor"
"873","208","93","challenge_organizer"
"874","208","256","challenge_organizer"
"875","208","119","challenge_organizer"
"876","209","93","challenge_organizer"
"877","209","256","challenge_organizer"
"878","209","119","challenge_organizer"
"879","209","323","challenge_organizer"
"880","209","323","data_contributor"
"881","210","234","data_contributor"
"882","210","93","challenge_organizer"
"883","211","93","challenge_organizer"
"884","211","256","challenge_organizer"
"885","211","119","challenge_organizer"
"886","212","93","challenge_organizer"
"887","213","324","challenge_organizer"
"888","213","93","challenge_organizer"
"889","214","93","challenge_organizer"
"890","214","242","challenge_organizer"
"891","214","93","data_contributor"
"892","214","242","data_contributor"
"893","216","325","challenge_organizer"
"894","217","325","challenge_organizer"
"895","215","326","challenge_organizer"
"896","218","326","challenge_organizer"
"897","2","1","sponsor"
"898","38","1","sponsor"
"899","49","1","sponsor"
"900","58","1","sponsor"
"901","219","13","challenge_organizer"
"902","220","327","challenge_organizer"
"903","220","62","challenge_organizer"
"904","99","34","challenge_organizer"
"905","101","98","challenge_organizer"
"906","102","105","challenge_organizer"
"907","104","105","challenge_organizer"
"908","106","12","sponsor"
"909","106","328","sponsor"
"910","106","286","sponsor"
"911","106","161","challenge_organizer"
"912","106","329","challenge_organizer"
"913","111","225","challenge_organizer"
"914","112","162","challenge_organizer"
"915","117","92","challenge_organizer"
"916","119","174","challenge_organizer"
"917","144","162","challenge_organizer"
"918","166","15","sponsor"
"919","59","4","challenge_organizer"
"920","61","4","challenge_organizer"
"921","62","4","challenge_organizer"
"922","63","4","challenge_organizer"
"923","64","4","challenge_organizer"
"924","65","4","challenge_organizer"
"925","66","4","challenge_organizer"
"926","67","4","challenge_organizer"
"927","68","4","challenge_organizer"
"928","69","4","challenge_organizer"
"929","70","4","challenge_organizer"
"930","71","4","challenge_organizer"
"931","72","4","challenge_organizer"
"932","274","4","challenge_organizer"
"933","269","4","challenge_organizer"
"934","73","4","challenge_organizer"
"935","273","4","challenge_organizer"
