"id","slug","name","headline","description","avatar_url","website_url","status","platform","doi","start_date","end_date","created_at","updated_at"
"12","alzheimers-disease-big-data","Alzheimer's Disease Big Data","Seeking accurate predictive biomarkers","The goal of the Alzheimer's Disease Big Data DREAM Challenge #1 (AD#1) was to apply an open science approach to rapidly identify accurate predictive AD biomarkers that can be used by the scientific, industrial and regulatory communities to improve AD diagnosis and treatment. AD#1 will be the first in a series of AD Data Challenges to leverage genetics and brain imaging in combination with cognitive assessments, biomarkers and demographic information from cohorts ranging from cognitively normal to mild cognitively impaired to individuals with AD.","","https://www.synapse.org/#!Synapse:syn2290704","completed","1","","2014-06-02","2014-10-17","2023-06-23 00:00:00","2023-10-14 05:38:17"
"13","olfaction-prediction","Olfaction Prediction","Predicting smell from molecule features","The goal of the DREAM Olfaction Prediction Challenge is to find models that can predict how a molecule smells from its physical and chemical features. A model that allows us to predict a smell from a molecule will provide fundamental insights into how odor chemicals are transformed into a smell percept in the brain. Further, being able to predict how a chemical smells will greatly accelerate the design of new molecules to be used as fragrances. Currently, fragrance chemists synthesize many molecules to obtain a new ingredient, but most of these will not have the desired qualities.","","https://www.synapse.org/#!Synapse:syn2811262","completed","1","","2015-01-15","2015-05-01","2023-11-01 22:11:08","2023-10-14 05:38:17"
"14","prostate-cancer","Prostate Cancer","Predict survival of docetaxel treatment in mCRPC patients","This challenge will attempt to improve the prediction of survival and toxicity of docetaxel treatment in patients with metastatic castration-resistant prostate cancer (mCRPC). The primary benefit of this Challenge will be to establish new quantitative benchmarks for prognostic modeling in mCRPC, with a potential impact for clinical decision making and ultimately understanding the mechanism of disease progression. Participating teams will be asked to submit predictive models based on clinical variables from the comparator arms of four phase III clinical trials with over 2,000 mCRPC patients treated with first-line docetaxel. The comparator arm of a clinical trial represents the patients that receive a treatment that is considered to be effective. This arm of the clinical trial is used to evaluate the effectiveness of the new therapy being tested.","","https://www.synapse.org/#!Synapse:syn2813558","completed","1","","2015-03-16","2015-07-27","2023-06-23 00:00:00","2023-10-14 05:38:18"
"15","als-stratification-prize4life","ALS Stratification Prize4Life","Predicting ALS progression and survival with data","As illustrated by the overview figure below, (a) Challenge Data includes data from ALS clinical trials and ALS registries. ALS clinical trials consist of patients from clinical trials available open access on the PRO-ACT database and patients from 6 clinical trials not yet added into the database. Data from ALS registries was collected from patients in national ALS registries. (b) Data is divided into three subsets-training data provided to solvers in full, leaderboard, and validation data that is available only to the organizers and is reserved for the scoring of the challenge. (c) The goal of this challenge is then to predict the Clinical Targets, i.e. the disease progression as ALSFRS slope as well as survival. (d) For Building the Models, participants create two algorithms-one that selects features and one that predicts outcomes. To perform predictions, data from a given patient  is fed into the selector . The selector selects 6 features and a cluster/model ID (3), e.g. from a...","","https://www.synapse.org/#!Synapse:syn2873386","completed","1","","2015-06-22","2015-10-04","2023-06-23 00:00:00","2023-10-14 05:38:19"
"16","astrazeneca-sanger-drug-combination-prediction","AstraZeneca-Sanger Drug Combination Prediction","Predict effective drug combinations using genomic data","To accelerate the understanding of drug synergy, AstraZeneca has partnered with the European Bioinformatic Institute, the Sanger Institute, Sage Bionetworks, and the distributed DREAM community to launch the AstraZeneca-Sanger Drug Combination Prediction DREAM Challenge. This Challenge is designed to explore fundamental traits that underlie effective combination treatments and synergistic drug behavior using baseline genomic data, i.e. data collected pretreatment. As the basis of the Challenge, AstraZeneca is releasing ~11.5k experimentally tested drug combinations measuring cell viability over 118 drugs and 85 cancer cell lines (primarily colon, lung, and breast), and monotherapy drug response data for each drug and cell line. Moreover, in coordination with the Genomics of Drug Sensitivity in Cancer and COSMIC teams at the Sanger Institute, genomic data including gene expression, mutations (whole exome), copy-number alterations, and methylation data will be released into the publ...","","https://www.synapse.org/#!Synapse:syn4231880","completed","1","","2015-09-03","2016-03-14","2023-06-23 00:00:00","2023-10-14 05:38:19"
"17","smc-dna-meta","SMC-DNA Meta","Seeking most accurate somatic mutation detection pipeline","The goal of this Challenge is to identify the most accurate meta-pipeline for somatic mutation detection, and establish the state-of-the-art. The algorithms in this Challenge must use as input mutations predicted by one or more variant callers and output mutation calls associated with cancer. An additional goal is to highlight the complementarity of the calling algorithms and help understand their individual advantages/deficiencies.","","https://www.synapse.org/#!Synapse:syn4588939","completed","1","","2015-08-17","2016-04-10","2023-06-23 00:00:00","2023-10-14 05:38:20"
"18","smc-het","SMC-Het","Crowdsourcing challenge to improve tumor subclonal reconstruction","The ICGC-TCGA DREAM Somatic Mutation Calling-Tumour Heterogeneity Challenge (SMC-Het) is an international effort to improve standard methods for subclonal reconstruction-to quantify and genotype each individual cell population present within a tumor. Leaders of the International Cancer Genome Consortium (ICGC) and The Cancer Genome Atlas (TCGA) cancer genomics projects are joining with Sage Bionetworks and IBM-DREAM to initiate this innovative open crowd-sourced Challenge [1-3].","","https://www.synapse.org/#!Synapse:syn2813581","completed","1","","2015-11-16","2016-06-30","2023-11-01 22:21:29","2023-10-14 05:38:21"
"19","respiratory-viral","Respiratory Viral","Early predictors of respiratory infection and contagiousness","Respiratory viruses are highly infectious and cause acute illness in millions of people every year. However, there is wide variation in the physiologic response to exposure at the individual level. Some people that are exposed to virus are able to completely avoid infection. Others contract virus but are able to fight it off without exhibiting any symptoms of illness such as coughing, sneezing, sore throat or fever. It is not well understood what characteristics may protect individuals from respiratory viral infection. These individual responses are likely influenced by multiple processes including both the basal state of the human host upon exposure and the dynamics of host immune response in the early hours immediately following exposure. Many of these processes play out in the peripheral blood through activation and recruitment of circulating immune cells. Global gene expression patterns measured in peripheral blood at the time of symptom onset-several days after viral exposure...","","https://www.synapse.org/#!Synapse:syn5647810","completed","1","","2016-05-16","2016-09-28","2023-06-23 00:00:00","2023-11-14 20:16:42"
"20","disease-module-identification","Disease Module Identification","Crowdsourcing challenge to find disease modules in genomic networks","The Disease Module Identification DREAM Challenge is an open community effort to systematically assess module identification methods on a panel of state-of-the-art genomic networks and leverage the “wisdom of crowds” to discover novel modules and pathways underlying complex diseases.","","https://www.synapse.org/#!Synapse:syn6156761","completed","1","https://doi.org/10.1038/s41592-019-0509-5","2016-06-24","2016-10-01","2023-11-01 22:21:32","2023-10-16 21:17:48"
"21","encode","ENCODE","Predict transcription factor binding sites from limited data","Transcription factors (TFs) are regulatory proteins that bind specific DNA sequence patterns (motifs) in the genome and affect transcription rates of target genes. Binding sites of TFs differ across cell types and experimental conditions. Chromatin immunoprecipitation followed by sequencing (ChIP-seq) is an experimental method that is commonly used to obtain the genome-wide binding profile of a TF of interest in a specific cell type/condition. However, profiling the binding landscape of every TF in every cell type/condition is infeasible due to constraints on cost, material and effort. Hence, accurate computational prediction of in vivo TF binding sites is critical to complement experimental results.","","https://www.synapse.org/#!Synapse:syn6131484","completed","1","","2016-07-07","2017-01-11","2023-11-01 22:21:32","2023-10-14 05:38:26"
"22","idea","Idea","Fostering collaborative solutions in health: the DREAM IDEA challenge","The DREAM Idea Challenge is designed to collaboratively shape and enable the solution of a question fundamental to improving human health. In the process, all proposals and their evaluation will be made publicly available for the explicit purpose of connecting modelers and experimentalists who want to address the same question. This Wall of Models will enable new collaborations, and help turn every good modeling idea into a success story. It will further serve as a basis for new DREAM challenges.","","https://www.synapse.org/#!Synapse:syn5659209","completed","1","","2016-06-15","2017-04-30","2023-06-23 00:00:00","2023-11-20 20:18:36"
"23","smc-rna","SMC-RNA","Crowdsourcing challenge to improve cancer mutation detection from rna data","The ICGC-TCGA DREAM Somatic Mutation Calling-RNA Challenge (SMC-RNA) is an international effort to improve standard methods for identifying cancer-associated rearrangements in RNA sequencing (RNA-seq) data. Leaders of the International Cancer Genome Consortium (ICGC) and The Cancer Genome Atlas (TCGA) cancer genomics projects are joining with Sage Bionetworks and IBM-DREAM to initiate this innovative open crowd-sourced Challenge [1-3].","","https://www.synapse.org/#!Synapse:syn2813589","completed","1","","2016-06-29","2017-05-02","2023-06-23 00:00:00","2023-10-14 05:38:29"
"24","digital-mammography-dream-challenge","Digital Mammography DREAM Challenge","Improve mammography prediction to detect breast cancer early","The Digital Mammography DREAM Challenge will attempt to improve the predictive accuracy of digital mammography for the early detection of breast cancer. The primary benefit of this Challenge will be to establish new quantitative tools-machine learning, deep learning or other-that can help decrease the recall rate of screening mammography, with a potential impact on shifting the balance of routine breast cancer screening towards more benefit and less harm. Participating teams will be asked to submit predictive models based on over 640,000 de-identified digital mammography images from over 86000 subjects, with corresponding clinical variables.","","https://www.synapse.org/#!Synapse:syn4224222","completed","1","https://doi.org/10.1001/jamanetworkopen.2020.0265","2016-11-18","2017-05-16","2023-06-23 00:00:00","2023-10-14 05:38:29"
"25","multiple-myeloma","Multiple Myeloma","Develop precise risk model for myeloma patients","Multiple myeloma (MM) is a cancer of the plasma cells in the bone marrow, with about 25,000 newly diagnosed patients per year in the United States alone. The disease's clinical course depends on a complex interplay of clinical traits and molecular characteristics of the plasma cells.1 Since risk-adapted therapy is becoming standard of care, there is an urgent need for a precise risk stratification model to assist in therapeutic decision-making and research. While progress has been made, there remains a significant opportunity to improve patient stratification to optimize treatment and to develop new therapies for high-risk patients. A DREAM Challenge represents a chance not only to integrate available data and analytical approaches to tackle this important problem, but also provides the ability to benchmark potential methods to identify those with the greatest potential to yield patient care benefits in the future.","","https://www.synapse.org/#!Synapse:syn6187098","completed","1","","2017-06-30","2017-11-08","2023-06-23 00:00:00","2023-10-14 05:38:31"
"26","ga4gh-dream-workflow-execution","GA4GH-DREAM Workflow Execution","Develop technologies to enable distributed genomic data analysis","The highly distributed and disparate nature of genomic and clinical data generated around the world presents an enormous challenge for those scientists who wish to integrate and analyze these data. The sheer volume of data often exceeds the capacity for storage at any one site and prohibits the efficient transfer between sites. To address this challenge, researchers must bring their computation to the data. Numerous groups are now developing technologies and best practice methodologies for running portable and reproducible genomic analysis pipelines as well as tools and APIs for discovering genomic analysis resources. Software development, deployment, and sharing efforts in these groups commonly rely on the use of modular workflow pipelines and virtualization based on Docker containers and related tools.","","https://www.synapse.org/#!Synapse:syn8507133","completed","1","","2017-07-21","2017-12-31","2023-06-23 00:00:00","2023-10-14 05:38:31"
"27","parkinsons-disease-digital-biomarker","Parkinson's Disease Digital Biomarker","Develop Parkinson's digital signatures from sensor data for Parkinson's disease","The Parkinson's Disease Digital Biomarker DREAM Challenge is a first of it's kind challenge, designed to benchmark methods for the processing of sensor data for development of digital signatures reflective of Parkinson's Disease. Participants will be provided with raw sensor (accelerometer, gyroscope, and magnetometer) time series data recorded during the performance of pre-specified motor tasks, and will be asked to extract data features which are predictive of PD pathology. In contrast to traditional DREAM challenges, this one will focus on feature extraction rather than predictive modeling, and submissions will be evaluated based on their ability to predict disease phenotype using an array of standard machine learning algorithms.","","https://www.synapse.org/#!Synapse:syn8717496","completed","1","","2017-07-06","2017-11-10","2023-06-23 00:00:00","2023-11-14 19:10:32"
"28","nci-cptac-proteogenomics","NCI-CPTAC Proteogenomics","Develop tools to extract insights from cancer proteomics data","Cancer is driven by aberrations in the genome [1,2], and these alterations manifest themselves largely in the changes in the structure and abundance of proteins, the main functional gene products. Hence, characterization and analyses of alterations in the proteome has the promise to shed light into cancer development and may improve development of both biomarkers and therapeutics. Measuring the proteome is very challenging, but recent rapid technology developments in mass spectrometry are enabling deep proteomics analysis [3]. Multiple initiatives have been launched to take advantage of this development to characterize the proteome of tumours, such as the Clinical Proteomic Tumor Analysis Consortium (CPTAC). These efforts hold the promise to revolutionize cancer research, but this will only be possible if the community develops computational tools powerful enough to extract the most information from the proteome, and to understand the association between genome, transcriptome and ...","","https://www.synapse.org/#!Synapse:syn8228304","completed","1","","2017-06-26","2017-11-20","2023-11-01 22:21:37","2023-10-14 05:38:33"
"29","multi-targeting-drug","Multi-Targeting Drug","Seeking generalizable methods to predict multi-target compound binding","The objective of this challenge is to incentivize development of methods for predicting compounds that bind to multiple targets. In particular, methods that are generalizable to multiple prediction problems are sought. To achieve this, participants will be asked to predict 2 separate compounds, each having specific targets to which they should bind, and a list of anti-targets to avoid. Participants should use the same methods to produce answers for questions 1 and 2.","","https://www.synapse.org/#!Synapse:syn8404040","completed","1","","2017-10-05","2018-02-26","2023-06-23 00:00:00","2023-10-14 05:38:33"
"30","single-cell-transcriptomics","Single Cell Transcriptomics","Reconstructing cell locations in Drosophila embryo from transcripts","In this Challenge on Single-Cell Transcriptomics, participants will reconstruct the location of single cells in the Drosophila embryo using single-cell transcriptomic data. Data will be made available in late August and participating challenge teams can work on the data and submit their results previous to the DREAM Conference. The best performers will be announced at the DREAM conference on Dec 8.","","https://www.synapse.org/#!Synapse:syn15665609","completed","1","","2018-09-04","2018-11-21","2023-06-23 00:00:00","2023-11-16 18:38:46"
"31","idg-drug-kinase-binding","IDG Drug-Kinase Binding","Drug-kinase binding prediction for IDG drug-kinase binding","This IDG-DREAM Drug-Kinase Binding Prediction Challenge seeks to evaluate the power of statistical and machine learning models as a systematic and cost-effective means for catalyzing compound-target interaction mapping efforts by prioritizing most potent interactions for further experimental evaluation. The Challenge will focus on kinase inhibitors, due to their clinical importance [2], and will be implemented in a screening-based, pre-competitive drug discovery project in collaboration with theIlluminating the Druggable Genome (IDG) Kinase-focused Data and Resource Generation Center, consortium, with the aim to establish kinome-wide target profiles of small-molecule agents, with the goal of extending the druggability of the human kinome space.","","https://www.synapse.org/#!Synapse:syn15667962","completed","1","","2018-10-01","2019-04-18","2023-06-23 00:00:00","2023-11-14 19:07:18"
"32","malaria","Malaria","Predict malaria drug resistance from parasite gene expression for malaria","The Malaria DREAM Challenge is open to anyone interested in contributing to the development of computational models that address important problems in advancing the fight against malaria. The overall goal of the first Malaria DREAM Challenge is to predict Artemisinin (Art) drug resistance level of a test set of malaria parasites using their in vitro transcription data and a training set consisting of published in vivo and unpublished in vitrotranscriptomes. The in vivodataset consists of ~1000 transcription samples from various geographic locations covering a wide range of life cycles and resistance levels, with other accompanying data such as patient age, geographic location, Art combination therapy used, etc [Mok et al (2015) Science]. The in vitro transcription dataset consists of 55 isolates, with transcription collected at two timepoints (6 and 24 hours post-invasion), in the absence or presence of an Art perturbation, for two biological replicates using a custom microarray a...","","https://www.synapse.org/#!Synapse:syn16924919","completed","1","","2019-04-30","2019-08-15","2023-06-23 00:00:00","2023-10-14 05:38:35"
"33","preterm-birth-prediction-transcriptomics","Preterm Birth Prediction - Transcriptomics","Determine gestational age for preterm birth prediction","A basic need in pregnancy care is to establish gestational age, and inaccurate estimates may lead to unnecessary interventions and sub-optimal patient management. Current approaches to establish gestational age rely on patient's recollection of her last menstrual period and/or ultrasound, with the latter being not only costly but also less accurate if not performed during the first trimester of pregnancy. Therefore development of an inexpensive and accurate molecular clock of pregnancy would be of benefit to patients and health care systems. Participants in sub-challenge 1 (Prediction of gestational age) will be given whole blood gene topic_3170 collected from pregnant women to develop prediction models for the gestational age at blood draw. Another challenge in obstetrics, in both low and high-income countries, is identification and treatment of women at risk of developing the ‘great obstetrical syndromes‘. Of these, preterm birth (PTB), defined as giving birth prior to completio...","","https://www.synapse.org/#!Synapse:syn18380862","completed","1","","2019-05-04","2019-12-05","2023-06-23 00:00:00","2023-11-14 19:07:28"
"34","single-cell-signaling-in-breast-cancer","Single-Cell Signaling in Breast Cancer","Exploring heterogeneous signaling in single cancer cells","Signaling underlines nearly every cellular event. Individual cells, even if genetically identical, respond to perturbation in different ways. This underscores the relevance of cellular heterogeneity, in particular in how cells respond to drugs. This is of high relevance since the fact that a subset of cells do not respond (or only weakly) to drugs can render this drug an ineffective treatment. In spite of its relevance to many diseases, comprehensive studies on the heterogeneous signaling in single cells are still lacking. We have generated the, to our knowledge, currently largest single cell signaling dataset on a panel of 67 well-characterized breast cancer cell lines by mass cytometry (3'015 conditions, ~80 mio single cells, 38 markers; Bandura et al. 2009; Bendall et al., 2011; Bodenmiller et al., 2012; Lun et al., 2017; Lun et al., 2019). These cell lines are, among others, also characterized at the genomic, transcriptomic, and proteomic level (Marcotte et al., 2016). We ask ...","","https://www.synapse.org/#!Synapse:syn20366914","completed","1","","2018-08-20","2019-11-15","2023-06-23 00:00:00","2023-10-14 05:38:37"
"35","ehr-dream-challenge-patient-mortality-prediction","EHR DREAM Challenge: Patient Mortality Prediction","New tools to reconstruct cell lineages from CRISPR mutations","The recent advent of new CRISPR-based molecular tools allows the reconstruction of cell lineages based on the phylogenetical analysis of DNA mutations induced by CRISPR during development and promises to solve the lineage of complex model organisms at single-cell resolution (see image from McKenna et al Science 2016). To date, however, no lineage reconstruction algorithms have been rigorously examined for their performance/robustness across diverse molecular tools, datasets, and number of cells/size of lineage trees. It also remains unclear whether new Machine-Learning algorithms that go beyond the classical ones developed for reconstructing phylogenetic trees, could consistently reconstruct cell lineages to a high degree of accuracy. The challenge-a partnership between The Allen Institute and DREAM-will comprise 3 subchallenges that consist of reconstructing cell lineage trees of different sizes and nature. In subchallenge 1, participants will be given experimental molecular data...","","https://www.synapse.org/#!Synapse:syn18405991","completed","1","https://doi.org/10.1093/jamia/ocad159","2019-09-09","2020-01-23","2023-06-23 00:00:00","2023-11-02 18:25:23"
"36","allen-institute-cell-lineage-reconstruction","Allen Institute Cell Lineage Reconstruction","New tools enable reconstructing complex cell lineages at single-cell resolution","The recent advent of new CRISPR-based molecular tools allows the reconstruction of cell lineages based on the phylogenetical analysis of DNA mutations induced by CRISPR during development and promises to solve the lineage of complex model organisms at single-cell resolution.  To date, however, no lineage reconstruction algorithms have been rigorously examined for their performance/robustness across diverse molecular tools, datasets, and number of cells/size of lineage trees. It also remains unclear whether new Machine-Learning algorithms that go beyond the classical ones developed for reconstructing phylogenetic trees, could consistently reconstruct cell lineages to a high degree of accuracy. The challenge-a partnership between The Allen Institute and DREAM-will comprise 3 subchallenges that consist of reconstructing cell lineage trees of different sizes and nature. In subchallenge 1, participants will be given experimental molecular data to reconstruct in vitro cell lineages of l...","","https://www.synapse.org/#!Synapse:syn20692755","completed","1","","2019-10-15","2020-02-06","2023-06-23 00:00:00","2023-11-02 18:25:24"
"37","tumor-deconvolution","Tumor Deconvolution","Deconvolve bulk tumor data into immune components","The extent of stromal and immune cell infiltration within solid tumors has prognostic and predictive significance. Unfortunately, expression profiling of tumors has, until very recently, largely been undertaken using bulk techniques (e.g., microarray and RNA-seq). Unlike single-cell methods (e.g., single-cell RNA-seq, FACS, mass cytometry, or immunohistochemistry), bulk approaches average expression across all cells (cancer, stromal, and immune) within the sample and, hence, do not directly quantitate tumor infiltration. This information can be recovered by computational tumor deconvolution methods, which would thus allow interrogation of immune subpopulations across the large collection of public bulk topic_3170sets. The goal of this Challenge is to evaluate the ability of computational methods to deconvolve bulk topic_3170, reflecting a mixture of cell types, into individual immune components. Methods will be assessed based on in vitro and in silico admixtures specifically gener...","","https://www.synapse.org/#!Synapse:syn15589870","completed","1","","2019-06-26","2020-04-30","2023-06-23 00:00:00","2023-11-14 19:07:39"
"38","ctd2-pancancer-drug-activity","CTD2 Pancancer Drug Activity","Benchmark algorithms predicting drug targets from gene data","Over the last two years, the Columbia CTD2 Center developed PANACEA (Pancancer Analysis of Chemical Entity Activity), a comprehensive repertoire of dose response curves and molecular profiles representative of cellular responses to drug perturbations. PANACEA covers a broad spectrum of cellular contexts representative of poor outcome malignancies, including rare ones such as GIST sarcoma and gastroenteropancreatic neuroendocrine tumors (GEP-NETs). PANACEA is uniquely suited to support DREAM Challenges related to the elucidation of drug mechanism of action (MOA), drug sensitivity, and drug synergy.  The goal of the CTD2 Pancancer Drug Activity DREAM Challenge is to foster the development and benchmarking of algorithms to predict targets of chemotherapeutic compounds from post-treatment transcriptional data.","","https://www.synapse.org/#!Synapse:syn20968331","completed","1","","2019-12-02","2020-02-13","2023-06-23 00:00:00","2023-10-20 23:11:10"
"39","ctd2-beataml","CTD2 BeatAML","Seeking new drug targets for precision AML treatment","In the era of precision medicine, AML patients have few therapeutic options, with “7 + 3” induction chemotherapy having been the standard for decades (Bertoli et al. 2017). While several agents targeting the myeloid marker CD33 or alterations in FLT3 or IDH2 have demonstrated efficacy in patients (Wei and Tiong 2017), responses are uncertain in some populations (Castaigne et al. 2012) and relapse remains prevalent (Stone et al. 2017). These drugs highlight both the promise of targeted therapies in AML and the urgent need for additional treatment options that are tailored to more refined patient subpopulations in order to achieve durable responses. The BeatAML initiative was launched as a comprehensive study of the relationship between molecular alterations and ex-vivo drug sensitivity in patients with AML. One of the primary goals of this multi-center study was to develop a discovery cohort that could yield new drug target hypotheses and predictive biomarkers of therapeutic respon...","","https://www.synapse.org/#!Synapse:syn20940518","completed","1","","2019-12-19","2020-04-28","2023-06-23 00:00:00","2023-10-14 05:38:42"
